account,out_block_std,out_time_ptp,out_amount_sum,out_amount_max,out_amount_min,out_amount_mean,out_amount_std,out_count,out_unique,out_unique_ratio,in_block_std,in_time_ptp,in_amount_sum,in_amount_max,in_amount_min,in_amount_mean,in_amount_std,in_count,in_unique,in_unique_ratio,to_out_sum_media,to_out_min_std,to_out_sum_min,from_in_sum_min,from_in_min_std,from_in_min_sum,from_in_mean_sum
0x7c11cd7b4108d97fb83bfabf446b5ebbd9517010,0,0,0,0,0,0,0,0,0,0,5.830951611106154,1427835555.0,6109725762.0,1527835554.0,1527051255.0,1527431440.5,305767.12654281524,4,0,0.0,0,0,0,1.222949691,295.5261249178611,170709.81508170126,211799.16195765813
0x5b4a7462de0e807303086c69a2f8fb902bab42ae,2801236.0041291257,1428013477.0,256.46857124700006,70.000322267,0.0,13.498345855105264,15.308823602309607,19,7,0.3684210526315789,0,0,0,0,0,0,0,0,0,0,1601.3510464942844,92.054875650047,0.0959189,0,0,0,0
0x3abc318f0bdffa6b7accae1d3f9653fb0455fcaf,331503.30481271225,1427929879.0,42.51061713,18.45,0.002,5.31382714125,7.782542707971611,8,5,0.625,0.887336727025408,1427929707.0,84016320164.0,1527929706.0,1526911977.0,1527569457.5272727,271717.0395764919,55,5,0.09090909090909091,31.747409415200003,1.339581695,0.05215500000000001,10.307441953038282,0.0,0.0753693096171239,352749.9430792332
0x385438b07e576f55864f136d5dacd485849e4a60,0,0,0,0,0,0,0,0,0,0,0.0,1427599542.0,1527599541.0,1527599541.0,1527599541.0,1527599541.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xf0acc4e3edcfaa9e1350490459573cf734bd59fe,0,0,0,0,0,0,0,0,0,0,6.78099509455248,1431750913.0,32103226641.0,1531750912.0,1527407298.0,1528725078.142857,1248557.8349451355,21,0,0.0,0,0,0,2.9139700500000005,139.3838762063432,129835.46482799074,185407.83170912747
0x1e8206655f800332f1ea4d29f53c55f6c1c02d5a,0,0,0,0,0,0,0,0,0,0,0.0,1427606502.0,1527606501.0,1527606501.0,1527606501.0,1527606501.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x3ec23fd0525f4d370691a02cb55e86f6fd676bc1,1637969.0,1420216044.0,13.4289311,10.429412,2.9995191,6.71446555,3.7149464499999993,2,2,1.0,0,0,0,0,0,0,0,0,0,0,444.4350776599653,245.92094200030536,0.025,0,0,0,0
0x6a3887dd370d13ad0249a9be7d95ec01fb89fcb8,0.0,1420241574.0,3.599412,3.599412,3.599412,3.599412,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,85.8567027294015,245.92094200030536,0.015,0,0,0,0
0x1bd1206d1ec92d85af4b42e7986b4850a7944070,0,0,0,0,0,0,0,0,0,0,4.075835978544425,1427812280.0,6109497141.0,1527812279.0,1526706304.0,1527374285.25,414661.1457747006,4,0,0.0,0,0,0,1.3716998,115.67218402281095,131589.95072464392,186721.05905398595
0xa7aa56dfbf865f1a1d690ad5f99d147c8dad3638,0,0,0,0,0,0,0,0,0,0,0.0,1427610157.0,1527610156.0,1527610156.0,1527610156.0,1527610156.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xe263a06d9c5f1ffe757eb8c7dcd02e284ec3eb92,0,0,0,0,0,0,0,0,0,0,2.1133977382404856,1427591021.0,4582765367.0,1527591020.0,1527586751.0,1527588455.6666667,1845.7808344678651,3,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x9ccb909a5dd0c9bea9113d2868d79ef87272db72,0,0,0,0,0,0,0,0,0,0,0.0,1427599542.0,1527599541.0,1527599541.0,1527599541.0,1527599541.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xb7b86aacbba74c587836a48a99c432a9ed7b5aae,10536753.03231637,1437169262.0,0.0,0.0,0.0,0.0,0.0,12,6,0.5,3.4164600696481147,1427764194.0,6099797557.0,1527764193.0,1517105187.0,1524949389.25,4531456.823294931,4,6,1.5,18.30403227349027,0.0,1.207780390988071,1.168545691,295.5261249178611,195779.12279244748,389671.40680276987
0x2eb21238fd7a164eff3c23c88e8e0a403f3e79f0,1292937.1112950386,1422747666.0,0.0,0.0,0.0,0.0,0.0,7,3,0.42857142857142855,0.0,1427594290.0,1527594289.0,1527594289.0,1527594289.0,1527594289.0,0.0,1,3,3.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x03bffa96ef342f455f6029964a22e3c717b31a02,495762.5,1426162256.0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,1.727038355,1427613160.0,3055225537.0,1527613159.0,1527612378.0,1527612768.5,390.5,2,2,1.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x2e3efd8d61e692e52b90f3e08d643784a233535f,0,0,0,0,0,0,0,0,0,0,0.0,1427598257.0,1527598256.0,1527598256.0,1527598256.0,1527598256.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0xcb6c9e2c6fd58c7cca9ffc701e865738e05ef568,0,0,0,0,0,0,0,0,0,0,0.0,1427604845.0,1527604844.0,1527604844.0,1527604844.0,1527604844.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x8dc2b5d6cf6608045df5cf661c50ebd510365a5a,4786076.418884204,1430468742.0,58.79407294700001,2.770229276,1.016141204,1.9598024315666667,0.4766999051126318,30,9,0.3,0,0,0,0,0,0,0,0,0,0,1552.9296988812964,65.9922751346628,0.1336,0,0,0,0
0x5b91a64b25e2708aac532b5834a508fb13a05585,5805036.032341814,1443233515.0,26.346475910011996,3.0,0.0,0.34216202480535063,0.6100450736168027,77,46,0.5974025974025974,0.6603321453454614,1429149858.0,39520249184.0,1529149857.0,1514396320.0,1520009584.0,4499122.8078911025,26,46,1.7692307692307692,5393.117175655105,0.0,3915.818837362208,20.40201176311449,0.0,0.02616,881612.357449466
0x9abe4dd92a4df72346710fd4890622eff7dbf1cd,2714462.854414443,1426261625.0,0.0,0.0,0.0,0.0,0.0,6,2,0.3333333333333333,4.243583496160867,1427597618.0,4581901977.0,1527597617.0,1526708045.0,1527300659.0,419041.7151454017,3,2,0.6666666666666666,2.0608518292104843,0.03788983133858592,0.34561623307407124,1.0228998,115.67218402281095,150253.2923427136,209757.58134942618
0x3e9911e5f8e6c1dcc0c94632ae241d37d5d1868a,8749.0,1427001303.0,0.0,0.0,0.0,0.0,0.0,2,1,0.5,0.8210420000000003,1427584378.0,3054649932.0,1527584377.0,1527065555.0,1527324966.0,259411.0,2,1,0.5,0,0,0,0.073,378.69404679540935,170709.81508170126,219985.84271892003
0x60afab6f00f541da12ab0f278a0be6bda00612fd,4134058.4474291345,1442261439.0,510.0,200.0,0.0,42.5,62.20999383807503,12,9,0.75,50.374052143583256,1442260987.0,13819811208.0,1542260986.0,1530567117.0,1535534578.6666667,4868645.253029133,9,9,1.0,108.00970544137617,0.0,0.01615383,0.8607673790000008,0.0,0.02077482,147919.16884888848
0xe4feb125578acd3c61d6cdb1a041dc2ec39d6178,4955053.451013044,1431592114.0,10.524052632,1.87718041,0.978840451,1.5034360902857142,0.32345345021702293,7,5,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,1485.8230330121266,245.92094200030536,0.07859999999999999,0,0,0,0
0xf89524d66c3a29112390e8052ba2e5bca78b6a22,0.0,1420238481.0,2.856412,2.856412,2.856412,2.856412,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,85.8567027294015,245.92094200030536,0.015,0,0,0,0
0x7ab940070e91bdb75909055ae87e9dc2579c03b3,0,0,0,0,0,0,0,0,0,0,11.155109450465961,1427583099.0,6096874115.0,1527583098.0,1518534898.0,1524218528.75,3418825.021599773,4,0,0.0,0,0,0,0.2285,51.78761418717394,7086.850933999999,96628.31338746508
0x0e09eea4b07404c3c219bc41141999e3a26e5d42,0,0,0,0,0,0,0,0,0,0,0.0,1427595742.0,1527595741.0,1527595741.0,1527595741.0,1527595741.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x636657940b74e7a70cd43f70b761081793b35e5f,0.0,1426700679.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,1427598581.0,1527598580.0,1527598580.0,1527598580.0,1527598580.0,0.0,1,1,1.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x1283b42158166858947e4f27fe49714c9753db61,1131575.048379421,1417482608.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,0.03535533905932746,1427594474.0,4562602198.0,1527594473.0,1517485997.0,1520867399.3333333,4756781.77368273,3,3,1.0,0,0,0,1.01,160.53527868755913,222501.6104476998,245881.7404019193
0x6726ecfe86296859992f86af72d7a29d1c4854c6,3760901.4458122742,1435818299.0,0.0,0.0,0.0,0.0,0.0,12,5,0.4166666666666667,0.5523579928036929,1427580978.0,6109809013.0,1527580977.0,1527310500.0,1527452253.25,98058.38339064896,4,5,1.25,61.53263959195254,37.38686425612682,19.93156906,0.0,13.267459869479815,27394.767765711873,148328.31906092534
0x93a125c45d84e684bc3416c08b5c2884ed6a58bd,304707.2325422479,1418258820.0,13.098677,10.099265,0.0,4.366225666666667,4.234770602570765,3,3,1.0,0,0,0,0,0,0,0,0,0,0,116.08197272541159,245.92094200030536,0.03,0,0,0,0
0xcf97b9e989bb0e95f18a4b7b286bb2fa55cc701b,864516.0,1420230145.0,3.945447131,1.979149774,1.966297357,1.9727235655,0.006426208499999975,2,2,1.0,0,0,0,0,0,0,0,0,0,0,829.1007920555721,245.92094200030536,0.038599999999999995,0,0,0,0
0xd15e116817ddbadfd1d176c981fd070986feae2f,0.0,1420301178.0,5.4335047,5.4335047,5.4335047,5.4335047,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,85.8567027294015,245.92094200030536,0.015,0,0,0,0
0xd3c0ff89b0ecfda92295c7d65ca5b5f285af8075,2529325.5749788815,1425455630.0,59.997114599999996,52.9998698,1.997963,14.999278649999999,21.943458490217726,4,2,0.5,0,0,0,0,0,0,0,0,0,0,124.4181477577001,175.4084352647233,0.03,0,0,0,0
0x430c6b2345963f9fc16129195ec1b0e53a28ba5d,0,0,0,0,0,0,0,0,0,0,3.299356498378829,1428073018.0,4583255883.0,1528073017.0,1527590373.0,1527751961.0,227022.5245095003,3,0,0.0,0,0,0,1.0028278,224.78017658914465,200419.2066354308,234840.5384957848
